K=2;
N=16;
P=[392 872];
R=[22 49];
A=[3 4];
C=[41 69];
M=[
[ 0 76 10 75 43 91 13 98 20 5 7 22 74 47 24 68 ]
[ 76 0 35 38 0 83 20 30 27 77 72 80 22 77 50 47 ]
[ 10 35 0 81 37 9 69 98 39 89 66 94 22 8 91 92 ]
[ 75 38 81 0 87 29 51 17 71 53 74 43 7 15 92 36 ]
[ 43 0 37 87 0 79 21 32 95 69 28 53 3 21 79 100 ]
[ 91 83 9 29 79 0 10 38 99 44 75 59 40 17 62 13 ]
[ 13 20 69 51 21 10 0 23 13 51 68 97 94 79 44 66 ]
[ 98 30 98 17 32 38 23 0 37 69 93 44 70 96 88 38 ]
[ 20 27 39 71 95 99 13 37 0 52 2 84 44 41 43 48 ]
[ 5 77 89 53 69 44 51 69 52 0 80 39 20 1 22 41 ]
[ 7 72 66 74 28 75 68 93 2 80 0 71 89 1 98 86 ]
[ 22 80 94 43 53 59 97 44 84 39 71 0 65 3 97 12 ]
[ 74 22 22 7 3 40 94 70 44 20 89 65 0 6 88 66 ]
[ 47 77 8 15 21 17 79 96 41 1 1 3 6 0 52 2 ]
[ 24 50 91 92 79 62 44 88 43 22 98 97 88 52 0 0 ]
[ 68 47 92 36 100 13 66 38 48 41 86 12 66 2 0 0 ]
];
