K=2;
N=12;
P=[459 987];
R=[16 39];
A=[5 3];
C=[59 69];
M=[
[ 0 69 18 61 64 36 52 26 89 72 69 13 ]
[ 69 0 27 38 16 60 22 1 12 7 36 89 ]
[ 18 27 0 3 76 98 30 24 70 18 67 15 ]
[ 61 38 3 0 49 62 18 21 46 18 94 56 ]
[ 64 16 76 49 0 72 85 95 93 52 24 25 ]
[ 36 60 98 62 72 0 65 100 75 97 83 55 ]
[ 52 22 30 18 85 65 0 18 50 27 71 41 ]
[ 26 1 24 21 95 100 18 0 57 87 65 90 ]
[ 89 12 70 46 93 75 50 57 0 51 52 20 ]
[ 72 7 18 18 52 97 27 87 51 0 16 82 ]
[ 69 36 67 94 24 83 71 65 52 16 0 72 ]
[ 13 89 15 56 25 55 41 90 20 82 72 0 ]
];
