K=2;
N=24;
P=[816 758];
R=[27 5];
A=[4 4];
C=[27 44];
M=[
[ 0 41 85 21 75 69 59 12 2 48 78 99 15 55 67 88 91 37 44 16 84 93 15 59 ]
[ 41 0 54 57 76 21 50 96 19 40 64 37 84 10 6 99 77 33 20 32 3 96 90 7 ]
[ 85 54 0 76 22 6 64 71 39 90 73 54 1 40 66 48 13 14 55 61 13 90 35 37 ]
[ 21 57 76 0 10 52 52 63 9 48 19 95 91 76 21 14 1 84 95 75 16 100 77 22 ]
[ 75 76 22 10 0 2 84 98 57 12 19 36 16 90 12 82 29 87 87 96 98 82 75 31 ]
[ 69 21 6 52 2 0 76 36 42 91 7 23 80 17 41 38 7 10 22 1 98 86 88 85 ]
[ 59 50 64 52 84 76 0 87 31 96 81 28 8 0 1 75 80 45 14 73 39 93 65 89 ]
[ 12 96 71 63 98 36 87 0 23 40 55 25 58 43 74 43 11 41 27 20 26 5 86 61 ]
[ 2 19 39 9 57 42 31 23 0 10 68 69 29 85 96 25 43 4 32 7 8 59 96 3 ]
[ 48 40 90 48 12 91 96 40 10 0 11 42 6 84 43 91 59 99 54 24 20 89 21 20 ]
[ 78 64 73 19 19 7 81 55 68 11 0 59 71 82 19 36 90 57 24 36 57 48 0 50 ]
[ 99 37 54 95 36 23 28 25 69 42 59 0 27 26 97 54 72 27 59 27 85 11 56 28 ]
[ 15 84 1 91 16 80 8 58 29 6 71 27 0 67 53 42 73 49 29 38 20 1 7 37 ]
[ 55 10 40 76 90 17 0 43 85 84 82 26 67 0 69 22 1 38 78 65 74 66 51 2 ]
[ 67 6 66 21 12 41 1 74 96 43 19 97 53 69 0 54 58 13 56 53 19 86 29 45 ]
[ 88 99 48 14 82 38 75 43 25 91 36 54 42 22 54 0 2 41 86 76 31 95 2 1 ]
[ 91 77 13 1 29 7 80 11 43 59 90 72 73 1 58 2 0 73 24 20 6 90 14 31 ]
[ 37 33 14 84 87 10 45 41 4 99 57 27 49 38 13 41 73 0 54 36 27 97 29 63 ]
[ 44 20 55 95 87 22 14 27 32 54 24 59 29 78 56 86 24 54 0 2 89 70 7 66 ]
[ 16 32 61 75 96 1 73 20 7 24 36 27 38 65 53 76 20 36 2 0 3 77 2 43 ]
[ 84 3 13 16 98 98 39 26 8 20 57 85 20 74 19 31 6 27 89 3 0 29 84 17 ]
[ 93 96 90 100 82 86 93 5 59 89 48 11 1 66 86 95 90 97 70 77 29 0 33 28 ]
[ 15 90 35 77 75 88 65 86 96 21 0 56 7 51 29 2 14 29 7 2 84 33 0 35 ]
[ 59 7 37 22 31 85 89 61 3 20 50 28 37 2 45 1 31 63 66 43 17 28 35 0 ]
];
