K=4;
N=24;
P=[655 564 479 540];
R=[30 26 11 48];
A=[4 5 2 5];
C=[63 47 63 12];
M=[
[ 0 56 30 64 27 98 38 4 75 51 20 92 30 97 96 26 37 32 83 54 92 92 27 93 ]
[ 56 0 49 63 26 55 64 46 17 34 40 79 51 44 91 62 21 25 24 33 61 38 34 21 ]
[ 30 49 0 11 68 9 89 75 70 38 33 73 85 30 92 23 14 41 38 77 35 97 4 79 ]
[ 64 63 11 0 89 64 8 82 35 22 97 97 86 73 23 21 84 7 100 40 42 32 37 95 ]
[ 27 26 68 89 0 85 75 43 80 5 72 72 37 67 44 11 99 3 45 10 52 19 73 69 ]
[ 98 55 9 64 85 0 71 69 79 92 71 53 58 49 3 50 40 93 85 79 57 67 47 35 ]
[ 38 64 89 8 75 71 0 16 87 13 86 58 27 3 98 52 13 45 31 65 41 50 94 84 ]
[ 4 46 75 82 43 69 16 0 81 91 1 6 96 49 31 13 93 82 63 20 61 87 30 21 ]
[ 75 17 70 35 80 79 87 81 0 95 51 89 37 93 74 18 98 47 98 25 26 70 75 92 ]
[ 51 34 38 22 5 92 13 91 95 0 60 63 67 10 69 67 39 1 79 62 46 37 9 70 ]
[ 20 40 33 97 72 71 86 1 51 60 0 81 35 35 6 21 25 79 12 30 56 4 82 14 ]
[ 92 79 73 97 72 53 58 6 89 63 81 0 43 84 70 96 58 69 70 73 22 74 83 72 ]
[ 30 51 85 86 37 58 27 96 37 67 35 43 0 81 15 16 36 46 98 16 16 26 80 49 ]
[ 97 44 30 73 67 49 3 49 93 10 35 84 81 0 55 31 46 100 46 44 19 42 53 21 ]
[ 96 91 92 23 44 3 98 31 74 69 6 70 15 55 0 11 100 85 64 40 48 27 94 86 ]
[ 26 62 23 21 11 50 52 13 18 67 21 96 16 31 11 0 97 63 66 14 13 47 23 76 ]
[ 37 21 14 84 99 40 13 93 98 39 25 58 36 46 100 97 0 17 30 10 24 44 5 42 ]
[ 32 25 41 7 3 93 45 82 47 1 79 69 46 100 85 63 17 0 94 15 36 56 42 74 ]
[ 83 24 38 100 45 85 31 63 98 79 12 70 98 46 64 66 30 94 0 100 100 57 70 40 ]
[ 54 33 77 40 10 79 65 20 25 62 30 73 16 44 40 14 10 15 100 0 68 11 91 9 ]
[ 92 61 35 42 52 57 41 61 26 46 56 22 16 19 48 13 24 36 100 68 0 61 0 7 ]
[ 92 38 97 32 19 67 50 87 70 37 4 74 26 42 27 47 44 56 57 11 61 0 78 6 ]
[ 27 34 4 37 73 47 94 30 75 9 82 83 80 53 94 23 5 42 70 91 0 78 0 58 ]
[ 93 21 79 95 69 35 84 21 92 70 14 72 49 21 86 76 42 74 40 9 7 6 58 0 ]
];
