K=12;
N=36;
P=[86 10 7 94 39 58 25 14 79 35 96 37];
R=[36 34 34 23 41 14 34 16 39 1 37 21];
A=[2 2 4 6 5 3 5 5 2 3 6 2];
C=[29 10 30 12 16 10 14 25 45 26 14 19];
M=[
[ 0 32 20 50 33 50 8 50 3 1 50 46 10 5 50 30 9 50 25 50 19 50 41 1 50 50 50 50 50 50 50 42 50 29 46 14 ]
[ 32 0 41 31 50 50 50 50 23 50 50 38 35 50 50 50 50 7 50 42 16 20 50 50 50 20 50 50 0 50 5 50 9 35 3 50 ]
[ 20 41 0 7 32 4 50 15 50 40 33 50 4 50 50 49 50 40 30 33 1 43 50 50 48 8 50 17 50 50 50 20 38 50 42 20 ]
[ 50 31 7 0 41 3 26 50 17 27 50 50 47 49 50 11 31 16 1 50 28 50 50 1 33 7 27 50 1 9 50 24 50 50 47 50 ]
[ 33 50 32 41 0 24 50 31 50 50 50 50 50 50 22 40 2 50 50 9 5 35 50 35 50 17 15 6 50 11 17 50 50 26 50 39 ]
[ 50 50 4 3 24 0 50 43 50 50 49 15 50 50 50 43 42 50 50 34 50 5 29 37 50 50 31 8 19 49 31 50 3 46 50 2 ]
[ 8 50 50 26 50 50 0 50 25 10 6 50 22 43 10 50 50 50 22 8 26 32 34 50 50 35 50 50 50 50 50 50 50 50 24 50 ]
[ 50 50 15 50 31 43 50 0 20 50 50 50 7 8 50 22 50 50 50 45 35 50 50 15 9 50 47 50 40 22 50 35 50 32 9 18 ]
[ 3 23 50 17 50 50 25 20 0 47 50 9 41 50 50 50 50 50 7 37 37 50 15 47 42 7 13 50 50 50 5 50 50 40 50 45 ]
[ 1 50 40 27 50 50 10 50 47 0 50 38 41 13 16 50 50 3 50 50 50 15 50 37 39 32 50 50 23 13 36 50 50 6 7 50 ]
[ 50 50 33 50 50 49 6 50 50 50 0 50 33 50 50 47 27 50 41 50 50 31 50 18 50 45 50 50 50 50 50 50 50 17 23 50 ]
[ 46 38 50 50 50 15 50 50 9 38 50 0 17 41 30 8 50 37 1 50 50 50 50 26 25 31 50 50 50 34 50 50 8 50 17 50 ]
[ 10 35 4 47 50 50 22 7 41 41 33 17 0 37 50 50 50 50 21 50 11 50 50 7 39 50 50 49 50 50 14 50 50 28 34 50 ]
[ 5 50 50 49 50 50 43 8 50 13 50 41 37 0 2 50 50 1 50 1 50 8 50 18 50 50 23 31 30 50 44 50 49 50 50 30 ]
[ 50 50 50 50 22 50 10 50 50 16 50 30 50 2 0 50 2 33 50 29 50 50 50 50 17 50 17 50 28 50 24 50 50 50 50 50 ]
[ 30 50 49 11 40 43 50 22 50 50 47 8 50 50 50 0 50 50 30 50 13 26 50 12 49 50 50 50 50 10 50 8 7 50 50 50 ]
[ 9 50 50 31 2 42 50 50 50 50 27 50 50 50 2 50 0 50 50 19 50 41 50 50 11 35 26 48 50 4 50 50 50 50 43 18 ]
[ 50 7 40 16 50 50 50 50 50 3 50 37 50 1 33 50 50 0 50 9 50 50 7 28 50 50 47 50 50 50 12 50 39 21 50 50 ]
[ 25 50 30 1 50 50 22 50 7 50 41 1 21 50 50 30 50 50 0 23 50 50 37 50 50 40 50 50 50 50 50 50 50 50 50 50 ]
[ 50 42 33 50 9 34 8 45 37 50 50 50 50 1 29 50 19 9 23 0 36 45 50 50 36 18 28 50 50 8 3 44 50 50 50 13 ]
[ 19 16 1 28 5 50 26 35 37 50 50 50 11 50 50 13 50 50 50 36 0 50 19 50 50 50 50 50 48 23 24 50 50 23 4 33 ]
[ 50 20 43 50 35 5 32 50 50 15 31 50 50 8 50 26 41 50 50 45 50 0 50 24 39 50 10 10 50 25 23 39 18 50 27 38 ]
[ 41 50 50 50 50 29 34 50 15 50 50 50 50 50 50 50 50 7 37 50 19 50 0 50 48 50 48 50 50 14 8 50 44 50 50 50 ]
[ 1 50 50 1 35 37 50 15 47 37 18 26 7 18 50 12 50 28 50 50 50 24 50 0 1 20 45 50 12 50 50 50 8 50 50 21 ]
[ 50 50 48 33 50 50 50 9 42 39 50 25 39 50 17 49 11 50 50 36 50 39 48 1 0 46 50 41 50 18 50 50 50 48 48 31 ]
[ 50 20 8 7 17 50 35 50 7 32 45 31 50 50 50 50 35 50 40 18 50 50 50 20 46 0 19 50 42 8 33 11 50 27 50 50 ]
[ 50 50 50 27 15 31 50 47 13 50 50 50 50 23 17 50 26 47 50 28 50 10 48 45 50 19 0 20 50 49 22 50 50 29 50 25 ]
[ 50 50 17 50 6 8 50 50 50 50 50 50 49 31 50 50 48 50 50 50 50 10 50 50 41 50 20 0 50 50 50 10 47 50 14 44 ]
[ 50 0 50 1 50 19 50 40 50 23 50 50 50 30 28 50 50 50 50 50 48 50 50 12 50 42 50 50 0 50 50 48 50 4 50 18 ]
[ 50 50 50 9 11 49 50 22 50 13 50 34 50 50 50 10 4 50 50 8 23 25 14 50 18 8 49 50 50 0 31 19 50 50 50 14 ]
[ 50 5 50 50 17 31 50 50 5 36 50 50 14 44 24 50 50 12 50 3 24 23 8 50 50 33 22 50 50 31 0 50 50 10 15 50 ]
[ 42 50 20 24 50 50 50 35 50 50 50 50 50 50 50 8 50 50 50 44 50 39 50 50 50 11 50 10 48 19 50 0 50 29 50 50 ]
[ 50 9 38 50 50 3 50 50 50 50 50 8 50 49 50 7 50 39 50 50 50 18 44 8 50 50 50 47 50 50 50 50 0 50 50 8 ]
[ 29 35 50 50 26 46 50 32 40 6 17 50 28 50 50 50 50 21 50 50 23 50 50 50 48 27 29 50 4 50 10 29 50 0 21 44 ]
[ 46 3 42 47 50 50 24 9 50 7 23 17 34 50 50 50 43 50 50 50 4 27 50 50 48 50 50 14 50 50 15 50 50 21 0 50 ]
[ 14 50 20 50 39 2 50 18 45 50 50 50 50 30 50 50 18 50 50 13 33 38 50 21 31 50 25 44 18 14 50 50 8 44 50 0 ]
];
