K=2;
N=20;
P=[339 384];
R=[8 3];
A=[2 4];
C=[51 21];
M=[
[ 0 67 41 36 68 46 94 98 62 39 26 50 57 72 8 32 5 96 20 83 ]
[ 67 0 64 50 69 34 4 55 97 15 56 18 70 31 15 27 98 22 61 33 ]
[ 41 64 0 63 83 87 32 18 97 48 90 16 42 89 82 3 16 85 93 98 ]
[ 36 50 63 0 80 12 47 44 31 98 27 88 31 59 94 48 83 86 28 32 ]
[ 68 69 83 80 0 65 9 25 38 56 56 53 58 73 70 89 78 7 54 30 ]
[ 46 34 87 12 65 0 82 85 11 72 31 18 35 89 35 14 89 46 32 85 ]
[ 94 4 32 47 9 82 0 41 38 87 58 61 27 65 62 49 45 60 39 56 ]
[ 98 55 18 44 25 85 41 0 79 51 45 29 35 25 97 51 29 14 1 18 ]
[ 62 97 97 31 38 11 38 79 0 83 20 78 98 61 68 65 58 80 1 88 ]
[ 39 15 48 98 56 72 87 51 83 0 41 43 66 34 45 57 37 48 95 36 ]
[ 26 56 90 27 56 31 58 45 20 41 0 31 62 69 53 89 93 53 83 100 ]
[ 50 18 16 88 53 18 61 29 78 43 31 0 19 24 15 99 61 62 50 23 ]
[ 57 70 42 31 58 35 27 35 98 66 62 19 0 71 49 21 45 91 24 50 ]
[ 72 31 89 59 73 89 65 25 61 34 69 24 71 0 70 45 70 88 2 69 ]
[ 8 15 82 94 70 35 62 97 68 45 53 15 49 70 0 85 97 27 3 52 ]
[ 32 27 3 48 89 14 49 51 65 57 89 99 21 45 85 0 12 84 75 22 ]
[ 5 98 16 83 78 89 45 29 58 37 93 61 45 70 97 12 0 94 72 4 ]
[ 96 22 85 86 7 46 60 14 80 48 53 62 91 88 27 84 94 0 61 69 ]
[ 20 61 93 28 54 32 39 1 1 95 83 50 24 2 3 75 72 61 0 76 ]
[ 83 33 98 32 30 85 56 18 88 36 100 23 50 69 52 22 4 69 76 0 ]
];
