K=9;
N=24;
P=[44 73 95 41 39 47 19 21 45];
R=[19 41 15 38 17 33 15 31 43];
A=[3 6 2 5 2 6 2 3 6];
C=[45 35 44 7 11 8 25 22 13];
M=[
[ 0 50 50 45 1 25 13 50 50 50 9 50 26 50 4 50 50 44 23 16 50 16 50 50 ]
[ 50 0 30 46 50 50 50 11 50 35 50 50 50 50 6 50 50 50 2 50 50 31 50 50 ]
[ 50 30 0 42 48 50 31 50 50 9 43 7 50 50 4 4 50 50 2 50 50 50 50 50 ]
[ 45 46 42 0 50 43 34 50 50 36 50 50 50 44 40 0 50 50 37 50 7 50 10 50 ]
[ 1 50 48 50 0 50 41 44 50 11 50 50 50 11 31 50 50 38 50 37 50 50 50 17 ]
[ 25 50 50 43 50 0 50 50 20 50 5 29 50 50 50 50 50 0 50 0 47 50 34 22 ]
[ 13 50 31 34 41 50 0 50 24 18 4 39 50 27 50 50 50 36 4 50 50 18 49 50 ]
[ 50 11 50 50 44 50 50 0 34 43 50 44 50 50 37 33 9 50 7 50 50 50 50 6 ]
[ 50 50 50 50 50 20 24 34 0 5 10 8 50 38 45 15 47 47 50 5 2 50 18 15 ]
[ 50 35 9 36 11 50 18 43 5 0 50 50 50 50 7 50 45 18 15 50 48 50 21 50 ]
[ 9 50 43 50 50 5 4 50 10 50 0 50 3 50 3 30 27 29 50 50 7 36 26 50 ]
[ 50 50 7 50 50 29 39 44 8 50 50 0 34 50 50 11 50 50 35 35 45 10 28 50 ]
[ 26 50 50 50 50 50 50 50 50 50 3 34 0 50 39 13 7 18 50 50 27 50 50 3 ]
[ 50 50 50 44 11 50 27 50 38 50 50 50 50 0 38 50 19 50 13 49 24 50 50 50 ]
[ 4 6 4 40 31 50 50 37 45 7 3 50 39 38 0 50 39 2 50 50 50 24 42 50 ]
[ 50 50 4 0 50 50 50 33 15 50 30 11 13 50 50 0 50 38 39 45 50 50 22 36 ]
[ 50 50 50 50 50 50 50 9 47 45 27 50 7 19 39 50 0 11 36 50 27 8 50 50 ]
[ 44 50 50 50 38 0 36 50 47 18 29 50 18 50 2 38 11 0 45 50 13 50 50 16 ]
[ 23 2 2 37 50 50 4 7 50 15 50 35 50 13 50 39 36 45 0 15 50 36 47 19 ]
[ 16 50 50 50 37 0 50 50 5 50 50 35 50 49 50 45 50 50 15 0 16 50 46 31 ]
[ 50 50 50 7 50 47 50 50 2 48 7 45 27 24 50 50 27 13 50 16 0 50 19 14 ]
[ 16 31 50 50 50 50 18 50 50 50 36 10 50 50 24 50 8 50 36 50 50 0 50 40 ]
[ 50 50 50 10 50 34 49 50 18 21 26 28 50 50 42 22 50 50 47 46 19 50 0 50 ]
[ 50 50 50 50 17 22 50 6 15 50 50 50 3 50 50 36 50 16 19 31 14 40 50 0 ]
];
