K=2;
N=28;
P=[263 942];
R=[30 10];
A=[2 3];
C=[35 18];
M=[
[ 0 60 88 56 46 24 19 5 84 86 82 43 8 5 5 16 10 77 54 65 19 20 69 94 73 7 87 68 ]
[ 60 0 46 0 17 21 26 65 20 89 46 50 53 72 92 70 20 33 13 3 15 97 22 77 90 75 100 8 ]
[ 88 46 0 21 65 38 70 39 88 98 92 76 14 71 63 41 64 56 38 95 53 84 84 9 39 84 89 42 ]
[ 56 0 21 0 87 32 86 21 98 48 97 68 12 10 65 49 89 63 75 7 4 7 53 33 61 97 46 38 ]
[ 46 17 65 87 0 85 40 63 33 88 43 81 15 98 38 47 67 81 9 38 75 82 92 27 57 98 56 34 ]
[ 24 21 38 32 85 0 58 94 56 50 67 68 21 100 0 92 94 79 71 67 9 88 56 89 76 3 91 91 ]
[ 19 26 70 86 40 58 0 43 0 24 74 82 80 66 29 97 90 27 66 75 57 74 49 35 3 11 11 6 ]
[ 5 65 39 21 63 94 43 0 79 31 96 88 91 71 91 45 68 0 23 50 36 50 46 89 40 75 40 57 ]
[ 84 20 88 98 33 56 0 79 0 7 85 25 45 31 1 77 21 16 100 76 68 26 49 82 87 98 40 63 ]
[ 86 89 98 48 88 50 24 31 7 0 79 96 71 3 93 42 86 94 88 87 55 21 22 28 37 74 84 64 ]
[ 82 46 92 97 43 67 74 96 85 79 0 6 59 15 33 23 12 24 53 13 43 20 81 94 44 43 3 63 ]
[ 43 50 76 68 81 68 82 88 25 96 6 0 37 75 3 31 27 55 22 22 97 72 53 93 63 78 65 57 ]
[ 8 53 14 12 15 21 80 91 45 71 59 37 0 4 12 34 61 56 35 29 12 52 43 82 18 34 1 38 ]
[ 5 72 71 10 98 100 66 71 31 3 15 75 4 0 76 17 89 82 2 42 14 80 24 21 74 64 61 2 ]
[ 5 92 63 65 38 0 29 91 1 93 33 3 12 76 0 89 20 62 66 74 28 31 48 45 19 59 81 83 ]
[ 16 70 41 49 47 92 97 45 77 42 23 31 34 17 89 0 18 65 72 21 48 74 76 75 16 63 99 47 ]
[ 10 20 64 89 67 94 90 68 21 86 12 27 61 89 20 18 0 52 9 19 72 94 12 62 27 30 70 21 ]
[ 77 33 56 63 81 79 27 0 16 94 24 55 56 82 62 65 52 0 13 84 68 43 60 26 18 31 92 69 ]
[ 54 13 38 75 9 71 66 23 100 88 53 22 35 2 66 72 9 13 0 65 7 11 38 8 35 15 47 31 ]
[ 65 3 95 7 38 67 75 50 76 87 13 22 29 42 74 21 19 84 65 0 59 53 72 32 75 22 75 5 ]
[ 19 15 53 4 75 9 57 36 68 55 43 97 12 14 28 48 72 68 7 59 0 40 91 21 63 100 63 30 ]
[ 20 97 84 7 82 88 74 50 26 21 20 72 52 80 31 74 94 43 11 53 40 0 89 99 22 64 41 71 ]
[ 69 22 84 53 92 56 49 46 49 22 81 53 43 24 48 76 12 60 38 72 91 89 0 36 93 16 64 8 ]
[ 94 77 9 33 27 89 35 89 82 28 94 93 82 21 45 75 62 26 8 32 21 99 36 0 48 10 36 40 ]
[ 73 90 39 61 57 76 3 40 87 37 44 63 18 74 19 16 27 18 35 75 63 22 93 48 0 27 52 19 ]
[ 7 75 84 97 98 3 11 75 98 74 43 78 34 64 59 63 30 31 15 22 100 64 16 10 27 0 6 88 ]
[ 87 100 89 46 56 91 11 40 40 84 3 65 1 61 81 99 70 92 47 75 63 41 64 36 52 6 0 34 ]
[ 68 8 42 38 34 91 6 57 63 64 63 57 38 2 83 47 21 69 31 5 30 71 8 40 19 88 34 0 ]
];
