K=9;
N=20;
P=[52 12 41 19 74 29 3 34 38];
R=[45 43 26 34 46 36 29 13 21];
A=[2 3 4 5 2 2 3 5 6];
C=[26 42 39 36 32 43 41 6 5];
M=[
[ 0 50 45 1 29 50 50 6 50 50 50 16 50 48 6 42 26 50 50 8 ]
[ 50 0 39 24 38 50 50 41 50 34 31 50 41 50 50 50 50 50 50 33 ]
[ 45 39 0 50 50 23 2 50 50 50 37 25 26 37 40 31 50 50 50 50 ]
[ 1 24 50 0 50 50 50 50 10 50 50 50 25 50 15 50 50 14 50 17 ]
[ 29 38 50 50 0 42 50 50 50 40 16 35 50 8 50 21 50 50 50 45 ]
[ 50 50 23 50 42 0 38 50 50 50 50 50 27 50 28 4 50 50 50 50 ]
[ 50 50 2 50 50 38 0 48 50 8 21 11 50 50 50 50 50 10 50 25 ]
[ 6 41 50 50 50 50 48 0 33 42 0 50 3 5 6 50 45 50 38 50 ]
[ 50 50 50 10 50 50 50 33 0 50 50 26 50 10 50 50 50 47 50 50 ]
[ 50 34 50 50 40 50 8 42 50 0 6 8 19 50 50 31 20 50 50 50 ]
[ 50 31 37 50 16 50 21 0 50 6 0 23 50 50 36 2 14 8 16 36 ]
[ 16 50 25 50 35 50 11 50 26 8 23 0 28 50 50 15 0 50 50 50 ]
[ 50 41 26 25 50 27 50 3 50 19 50 28 0 25 50 50 50 50 27 50 ]
[ 48 50 37 50 8 50 50 5 10 50 50 50 25 0 50 22 6 50 40 10 ]
[ 6 50 40 15 50 28 50 6 50 50 36 50 50 50 0 16 43 27 42 50 ]
[ 42 50 31 50 21 4 50 50 50 31 2 15 50 22 16 0 37 50 40 50 ]
[ 26 50 50 50 50 50 50 45 50 20 14 0 50 6 43 37 0 46 27 50 ]
[ 50 50 50 14 50 50 10 50 47 50 8 50 50 50 27 50 46 0 50 23 ]
[ 50 50 50 50 50 50 50 38 50 50 16 50 27 40 42 40 27 50 0 50 ]
[ 8 33 50 17 45 50 25 50 50 50 36 50 50 10 50 50 50 23 50 0 ]
];
