K=10;
N=26;
P=[76 89 29 100 57 29 91 1 45 85];
R=[8 44 7 28 46 23 3 15 26 15];
A=[5 6 2 2 6 4 3 2 2 4];
C=[20 5 11 41 12 35 38 25 23 32];
M=[
[ 0 50 50 50 10 50 50 21 50 50 50 30 24 50 50 9 47 35 29 50 50 50 0 50 50 50 ]
[ 50 0 29 50 50 50 50 50 50 14 29 50 39 7 50 50 39 50 50 50 50 50 50 33 15 16 ]
[ 50 29 0 35 50 50 50 50 50 50 50 50 26 10 50 42 50 37 35 50 43 5 50 50 47 5 ]
[ 50 50 35 0 50 23 21 6 17 50 50 50 39 50 50 50 36 50 50 33 50 50 10 50 6 50 ]
[ 10 50 50 50 0 50 21 50 50 50 40 50 42 39 38 34 50 13 43 50 4 31 50 25 50 50 ]
[ 50 50 50 23 50 0 50 38 25 50 40 48 14 50 23 50 23 50 46 8 0 50 50 50 38 45 ]
[ 50 50 50 21 21 50 0 43 50 19 49 45 4 23 38 50 6 28 35 28 50 50 50 50 50 16 ]
[ 21 50 50 6 50 38 43 0 32 19 50 47 31 50 36 7 50 46 29 50 50 50 37 1 43 20 ]
[ 50 50 50 17 50 25 50 32 0 50 50 50 50 50 7 2 50 50 50 17 50 50 17 37 50 36 ]
[ 50 14 50 50 50 50 19 19 50 0 50 50 13 4 30 50 23 19 19 24 31 50 14 48 50 50 ]
[ 50 29 50 50 40 40 49 50 50 50 0 18 50 18 34 50 50 50 41 50 22 50 50 50 12 11 ]
[ 30 50 50 50 50 48 45 47 50 50 18 0 20 15 50 50 24 50 50 50 31 50 50 28 50 39 ]
[ 24 39 26 39 42 14 4 31 50 13 50 20 0 50 42 46 43 50 50 37 34 50 35 50 50 50 ]
[ 50 7 10 50 39 50 23 50 50 4 18 15 50 0 50 50 44 6 50 50 50 27 37 6 50 27 ]
[ 50 50 50 50 38 23 38 36 7 30 34 50 42 50 0 15 31 39 50 50 50 50 21 50 48 50 ]
[ 9 50 42 50 34 50 50 7 2 50 50 50 46 50 15 0 36 50 50 21 28 50 50 50 50 3 ]
[ 47 39 50 36 50 23 6 50 50 23 50 24 43 44 31 36 0 50 50 50 10 33 50 50 50 34 ]
[ 35 50 37 50 13 50 28 46 50 19 50 50 50 6 39 50 50 0 36 15 50 22 20 50 50 14 ]
[ 29 50 35 50 43 46 35 29 50 19 41 50 50 50 50 50 50 36 0 33 50 18 50 50 43 22 ]
[ 50 50 50 33 50 8 28 50 17 24 50 50 37 50 50 21 50 15 33 0 50 17 50 50 50 10 ]
[ 50 50 43 50 4 0 50 50 50 31 22 31 34 50 50 28 10 50 50 50 0 50 40 14 25 50 ]
[ 50 50 5 50 31 50 50 50 50 50 50 50 50 27 50 50 33 22 18 17 50 0 50 50 50 50 ]
[ 0 50 50 10 50 50 50 37 17 14 50 50 35 37 21 50 50 20 50 50 40 50 0 2 32 50 ]
[ 50 33 50 50 25 50 50 1 37 48 50 28 50 6 50 50 50 50 50 50 14 50 2 0 31 50 ]
[ 50 15 47 6 50 38 50 43 50 50 12 50 50 50 48 50 50 50 43 50 25 50 32 31 0 50 ]
[ 50 16 5 50 50 45 16 20 36 50 11 39 50 27 50 3 34 14 22 10 50 50 50 50 50 0 ]
];
