K=8;
N=15;
P=[43 38 11 37 3 97 54 11];
R=[12 35 14 12 37 8 31 9];
A=[2 4 6 6 2 3 2 4];
C=[40 25 15 41 45 41 48 18];
M=[
[ 0 50 50 48 46 24 43 50 25 23 22 0 50 50 50 ]
[ 50 0 35 50 10 50 50 35 2 9 43 25 10 50 50 ]
[ 50 35 0 50 26 27 50 9 26 50 50 44 6 50 29 ]
[ 48 50 50 0 49 50 36 50 6 50 18 50 26 12 0 ]
[ 46 10 26 49 0 8 50 26 50 50 25 50 32 50 16 ]
[ 24 50 27 50 8 0 50 50 12 31 24 50 50 15 17 ]
[ 43 50 50 36 50 50 0 50 5 50 38 44 20 50 50 ]
[ 50 35 9 50 26 50 50 0 38 0 50 50 50 42 50 ]
[ 25 2 26 6 50 12 5 38 0 14 45 50 24 50 1 ]
[ 23 9 50 50 50 31 50 0 14 0 50 0 18 50 37 ]
[ 22 43 50 18 25 24 38 50 45 50 0 39 50 50 29 ]
[ 0 25 44 50 50 50 44 50 50 0 39 0 29 8 41 ]
[ 50 10 6 26 32 50 20 50 24 18 50 29 0 50 30 ]
[ 50 50 50 12 50 15 50 42 50 50 50 8 50 0 50 ]
[ 50 50 29 0 16 17 50 50 1 37 29 41 30 50 0 ]
];
