K=4;
N=16;
P=[884 269 722 751];
R=[14 38 10 10];
A=[4 4 5 3];
C=[36 51 25 19];
M=[
[ 0 26 51 7 17 64 0 48 95 87 29 53 47 1 36 96 ]
[ 26 0 92 59 29 36 94 11 23 43 64 16 89 30 13 8 ]
[ 51 92 0 88 59 10 77 31 48 9 61 20 33 55 57 37 ]
[ 7 59 88 0 27 86 72 62 22 23 32 3 80 86 60 59 ]
[ 17 29 59 27 0 61 24 57 9 46 26 94 53 59 12 88 ]
[ 64 36 10 86 61 0 61 35 53 10 85 37 74 37 72 78 ]
[ 0 94 77 72 24 61 0 36 28 47 80 50 53 19 78 87 ]
[ 48 11 31 62 57 35 36 0 75 50 96 44 40 11 53 78 ]
[ 95 23 48 22 9 53 28 75 0 29 49 20 33 29 26 89 ]
[ 87 43 9 23 46 10 47 50 29 0 79 38 70 99 65 43 ]
[ 29 64 61 32 26 85 80 96 49 79 0 16 50 34 64 61 ]
[ 53 16 20 3 94 37 50 44 20 38 16 0 30 29 86 8 ]
[ 47 89 33 80 53 74 53 40 33 70 50 30 0 99 68 85 ]
[ 1 30 55 86 59 37 19 11 29 99 34 29 99 0 0 52 ]
[ 36 13 57 60 12 72 78 53 26 65 64 86 68 0 0 71 ]
[ 96 8 37 59 88 78 87 78 89 43 61 8 85 52 71 0 ]
];
