K=4;
N=32;
P=[833 289 437 348];
R=[45 29 18 37];
A=[5 5 4 2];
C=[61 21 41 47];
M=[
[ 0 73 33 99 26 66 80 55 99 44 91 27 42 79 59 99 14 38 92 60 20 4 78 62 4 48 64 2 20 79 19 7 ]
[ 73 0 59 38 7 20 1 14 24 43 23 81 66 56 54 22 93 19 23 20 87 85 47 26 96 10 72 23 10 16 97 79 ]
[ 33 59 0 46 33 21 33 55 33 15 86 50 15 96 36 23 60 61 66 13 87 100 81 76 40 4 42 49 53 17 88 21 ]
[ 99 38 46 0 27 49 73 9 89 51 44 21 74 13 61 19 48 73 20 57 9 65 55 4 6 84 77 26 95 19 30 91 ]
[ 26 7 33 27 0 80 80 40 10 59 71 10 5 94 4 12 7 64 32 12 34 37 30 87 54 58 100 32 58 13 29 53 ]
[ 66 20 21 49 80 0 61 9 88 40 91 90 33 30 99 40 11 27 72 91 36 53 8 29 91 89 51 79 16 75 40 44 ]
[ 80 1 33 73 80 61 0 57 66 64 91 38 84 67 55 52 78 65 74 9 10 14 34 16 87 31 45 31 96 54 8 27 ]
[ 55 14 55 9 40 9 57 0 42 65 15 53 69 7 21 67 76 100 51 42 39 14 94 51 2 89 54 65 83 21 64 41 ]
[ 99 24 33 89 10 88 66 42 0 35 90 84 77 95 78 82 16 30 59 12 59 72 90 89 12 40 11 33 86 42 86 60 ]
[ 44 43 15 51 59 40 64 65 35 0 35 67 39 47 6 11 50 66 70 96 76 92 29 35 2 95 60 25 17 0 37 74 ]
[ 91 23 86 44 71 91 91 15 90 35 0 91 81 88 94 53 89 96 54 14 68 88 72 10 83 79 43 52 74 100 13 3 ]
[ 27 81 50 21 10 90 38 53 84 67 91 0 57 47 59 29 75 21 38 26 51 78 89 9 88 46 8 91 84 69 11 84 ]
[ 42 66 15 74 5 33 84 69 77 39 81 57 0 38 97 35 94 34 7 31 59 14 84 43 33 94 68 91 38 12 76 81 ]
[ 79 56 96 13 94 30 67 7 95 47 88 47 38 0 41 15 53 30 81 50 99 51 17 17 71 52 4 97 55 48 43 51 ]
[ 59 54 36 61 4 99 55 21 78 6 94 59 97 41 0 10 46 99 30 32 76 63 69 5 16 54 7 58 16 95 79 30 ]
[ 99 22 23 19 12 40 52 67 82 11 53 29 35 15 10 0 20 3 17 10 54 85 78 94 18 5 0 66 100 20 76 47 ]
[ 14 93 60 48 7 11 78 76 16 50 89 75 94 53 46 20 0 84 20 76 7 97 98 9 7 17 19 9 14 77 72 14 ]
[ 38 19 61 73 64 27 65 100 30 66 96 21 34 30 99 3 84 0 70 76 41 70 68 29 42 39 9 20 50 2 52 53 ]
[ 92 23 66 20 32 72 74 51 59 70 54 38 7 81 30 17 20 70 0 10 69 9 72 93 75 16 33 58 17 50 44 42 ]
[ 60 20 13 57 12 91 9 42 12 96 14 26 31 50 32 10 76 76 10 0 29 47 46 1 84 79 80 73 44 40 83 100 ]
[ 20 87 87 9 34 36 10 39 59 76 68 51 59 99 76 54 7 41 69 29 0 59 85 27 70 2 18 38 3 68 77 24 ]
[ 4 85 100 65 37 53 14 14 72 92 88 78 14 51 63 85 97 70 9 47 59 0 51 16 5 31 23 38 25 63 27 5 ]
[ 78 47 81 55 30 8 34 94 90 29 72 89 84 17 69 78 98 68 72 46 85 51 0 26 54 3 20 74 56 31 0 78 ]
[ 62 26 76 4 87 29 16 51 89 35 10 9 43 17 5 94 9 29 93 1 27 16 26 0 71 76 98 87 33 90 67 14 ]
[ 4 96 40 6 54 91 87 2 12 2 83 88 33 71 16 18 7 42 75 84 70 5 54 71 0 81 50 74 75 37 36 30 ]
[ 48 10 4 84 58 89 31 89 40 95 79 46 94 52 54 5 17 39 16 79 2 31 3 76 81 0 2 77 35 69 11 65 ]
[ 64 72 42 77 100 51 45 54 11 60 43 8 68 4 7 0 19 9 33 80 18 23 20 98 50 2 0 65 34 27 45 14 ]
[ 2 23 49 26 32 79 31 65 33 25 52 91 91 97 58 66 9 20 58 73 38 38 74 87 74 77 65 0 86 21 41 68 ]
[ 20 10 53 95 58 16 96 83 86 17 74 84 38 55 16 100 14 50 17 44 3 25 56 33 75 35 34 86 0 26 43 39 ]
[ 79 16 17 19 13 75 54 21 42 0 100 69 12 48 95 20 77 2 50 40 68 63 31 90 37 69 27 21 26 0 79 28 ]
[ 19 97 88 30 29 40 8 64 86 37 13 11 76 43 79 76 72 52 44 83 77 27 0 67 36 11 45 41 43 79 0 92 ]
[ 7 79 21 91 53 44 27 41 60 74 3 84 81 51 30 47 14 53 42 100 24 5 78 14 30 65 14 68 39 28 92 0 ]
];
