K = 15;

P = [ 34 5 16 10 13 13 1 16 42 3 11 16 25 10 4 ];
R = [ 17 2 49 8 5 42 6 10 49 15 36 15 29 42 45 ];
A = [ 3 4 3 3 3 2 2 3 3 6 3 5 3 2 6 ];
C = [ 6 8 11 19 9 14 18 6 12 26 23 26 27 22 24 ];
N = 19;

M = [
    [ 0 50 29 50 11 38 50 48 41 50 50 4 50 50 50 9 50 46 50 ]
    [ 50 0 50 50 5 31 34 50 50 50 6 1 11 46 50 50 23 50 50 ]
    [ 29 50 0 50 35 9 50 7 9 50 39 9 50 50 17 22 7 23 50 ]
    [ 50 50 50 0 27 43 50 6 50 15 50 50 50 50 43 14 50 25 50 ]
    [ 11 5 35 27 0 47 33 7 50 50 49 39 40 4 50 50 50 50 4 ]
    [ 38 31 9 43 47 0 50 50 15 50 50 18 50 50 48 38 49 43 26 ]
    [ 50 34 50 50 33 50 0 50 50 50 10 50 50 36 41 6 48 42 50 ]
    [ 48 50 7 6 7 50 50 0 46 31 50 50 9 50 7 48 22 4 29 ]
    [ 41 50 9 50 50 15 50 46 0 50 50 50 10 39 50 50 50 49 45 ]
    [ 50 50 50 15 50 50 50 31 50 0 40 20 13 50 50 7 50 50 50 ]
    [ 50 6 39 50 49 50 10 50 50 40 0 26 44 29 6 50 50 50 50 ]
    [ 4 1 9 50 39 18 50 50 50 20 26 0 50 50 50 50 50 33 50 ]
    [ 50 11 50 50 40 50 50 9 10 13 44 50 0 8 13 50 50 5 50 ]
    [ 50 46 50 50 4 50 36 50 39 50 29 50 8 0 37 44 4 50 18 ]
    [ 50 50 17 43 50 48 41 7 50 50 6 50 13 37 0 24 21 50 12 ]
    [ 9 50 22 14 50 38 6 48 50 7 50 50 50 44 24 0 50 50 20 ]
    [ 50 23 7 50 50 49 48 22 50 50 50 50 50 4 21 50 0 50 20 ]
    [ 46 50 23 25 50 43 42 4 49 50 50 33 5 50 50 50 50 0 50 ]
    [ 50 50 50 50 4 26 50 29 45 50 50 50 50 18 12 20 20 50 0 ]
];
