K = 7;

P = [ 22 5 46 41 26 36 19 ];
R = [ 49 44 36 28 40 2 14 ];
A = [ 3 5 3 2 5 6 2 ];
C = [ 20 9 4 5 15 7 29 ];
N = 12;

M = [
    [ 0 9 3 50 50 50 50 50 28 37 14 10 ]
    [ 9 0 50 50 50 50 50 50 50 50 43 50 ]
    [ 3 50 0 50 50 50 31 50 50 41 5 50 ]
    [ 50 50 50 0 50 19 50 33 50 47 50 50 ]
    [ 50 50 50 50 0 34 50 38 50 21 50 49 ]
    [ 50 50 50 19 34 0 21 50 42 50 50 40 ]
    [ 50 50 31 50 50 21 0 50 9 39 27 43 ]
    [ 50 50 50 33 38 50 50 0 18 50 50 50 ]
    [ 28 50 50 50 50 42 9 18 0 1 50 26 ]
    [ 37 50 41 47 21 50 39 50 1 0 50 50 ]
    [ 14 43 5 50 50 50 27 50 50 50 0 50 ]
    [ 10 50 50 50 49 40 43 50 26 50 50 0 ]
];
