K = 14;

P = [ 49 34 19 39 32 26 42 20 1 33 5 5 39 29 ];
R = [ 33 25 3 27 27 12 16 21 21 34 25 33 3 12 ];
A = [ 6 6 6 5 6 6 3 4 3 4 4 5 4 5 ];
C = [ 13 23 25 6 14 1 19 18 16 21 28 7 14 18 ];
N = 11;

M = [
    [ 0 50 50 50 49 50 7 50 12 50 50 ]
    [ 50 0 37 49 50 28 17 7 6 50 50 ]
    [ 50 37 0 31 35 50 9 50 50 13 50 ]
    [ 50 49 31 0 50 3 50 39 50 19 19 ]
    [ 49 50 35 50 0 50 4 10 8 30 50 ]
    [ 50 28 50 3 50 0 50 44 33 50 7 ]
    [ 7 17 9 50 4 50 0 44 37 50 50 ]
    [ 50 7 50 39 10 44 44 0 41 50 50 ]
    [ 12 6 50 50 8 33 37 41 0 50 34 ]
    [ 50 50 13 19 30 50 50 50 50 0 50 ]
    [ 50 50 50 19 50 7 50 50 34 50 0 ]
];
